figure_id,Gene,Collection,Compartment,Probe
2111877,Fs(2)Ket,CPTI001735,NMJ,venusYFP
2111876,Nrg,CPTI001714,NMJ,venusYFP
2111875,Gdh,CPTI001709,NMJ,venusYFP
2111874,fat-spondin,CPTI001685,NMJ,venusYFP
2111873,CG31738,CPTI001586,NMJ,venusYFP
2111872,PIG-S,CPTI001488,venusYFP,zegami2
2111871,MCU,CPTI001412,NMJ,venusYFP
2111870,cup,CPTI001409,NMJ,venusYFP
2111869,CG32560,CPTI001341,NMJ,venusYFP
2111868,sals,CPTI001332,NMJ,venusYFP
2111867,Smr,CPTI001328,NMJ,venusYFP
2111866,Usp36,CPTI001323,NMJ,venusYFP
2111865,Usp10,CPTI001308,NMJ,venusYFP
2111864,Rtln1,CPTI001291,NMJ,venusYFP
2111863,Ten-m,CPTI001273,NMJ,venusYFP
2113595,MM,20180704,CG30190,noDlg
2113594,MM,20180704,CG30190,CPTI001117
2113593,MM,20180704,CG30190,CPTI001117
2113592,MM,20180704,Larp,CPTI0003267
2113591,MM,20180704,Myo31DF,CPTI4107
2113590,MM,20180704,CG9028,CPTI000635
2113589,MM,20180704,CG7985,noDlg
2113588,MM,20180704,Myo31DF,CPTI4107
2113581,MM,20180703,CG7985,CPTI100032
2113580,MM,20180703,CG9028,CPTI000635
2113579,MM,20180703,CG7985,CPTI100032
2113578,MM,20180703,Myo31DF,CPTI4107
2113577,MM,20180703,CG9028,CPTI000635
2113575,MM,20180703,Myo31DF,CPTI4107
2113574,cindr,CPTI002324,VNC,venusYFP
2113573,cindr,CPTI002324,CB,venusYFP
2113572,MM,20180703,CG7985,CPTI100032
2113571,MM,20180703,CG9028,CPTI000635
2113570,MM,20180703,Myo31DF,CPTI4107
2113569,MM,20180703,Ade3,CPTI003790
2113568,cindr,CPTI002324,MB,venusYFP
2113567,MSP300,CPTI003472,VNC,venusYFP
2113566,cindr,CPTI002324,OL,venusYFP
2113565,cindr,CPTI002324,Overview,venusYFP
2113561,Aats-his,CPTI-003426,NMJ,venusYFP
2113547,l(1)G0232,CPTI002750,OL,venusYFP
2113546,l(1)G0232,CPTI002750,VNC,venusYFP
2113545,MM,20180702,Larp,CPTI003267
2113544,l(1)G0232,CPTI002750,MB,venusYFP
2113543,MM,20180702,Sec61alpha,CPTI002894
2113542,l(1)G0232,CPTI002750,CB,venusYFP
2113541,l(1)G0232,CPTI002750,Overview,venusYFP
2113540,MM,20180702,Sec61alpha,CPTI002894
2113539,MM,20180702,Sec61alpha,CPTI002894
2113537,MM,20180702,Larp,CPTI003267
2113536,MM,20180702,Sec61alpha,CPTI002894
2113532,MM,20180702,Larp,CPTI003267
2113531,Cam,CPTI001284,OL,venusYFP
2113530,Cam,CPTI001284,CB,venusYFP
2113529,Cam,CPTI001284,MB,venusYFP
2113528,Cam,CPTI001284,VNC,venusYFP
2113526,Cam,CPTI001284,Overview,venusYFP
2113521,Pdcd4,CPTI004527,CB,venusYFP
2113520,Pdcd4,CPTI004527,VNC,venusYFP
2113519,Pdcd4,CPTI004527,MB,venusYFP
2113518,Pdcd4,CPTI004527,OL,venusYFP
2113513,MM,20180621,CG7985,CPTI100032
2113489,CG6983,CPTI001802,OL,venusYFP
2113488,CG6983,CPTI001802,MB,venusYFP
2111862,ps,CPTI001261,NMJ,venusYFP
2111861,Neu3,CPTI001259,NMJ,venusYFP
2111860,stai,CPTI001234,NMJ,venusYFP
2111859,PpD3,CPTI001194,NMJ,venusYFP
2111858,Thor,CPTI001137,venusYFP,zegami2
2111857,AMP-deaminase,CPTI-001081,NMJ,venusYFP
2111856,Top1,CPTI-002927,NMJ,venusYFP
2111855,Lasp,CPTI-002905,NMJ,venusYFP
2111854,Sec61alpha,CPTI-002894,NMJ,venusYFP
2111846,Rnb,CPTI-002822,NMJ,venusYFP
2111845,Pop2,CPTI-002818,NMJ,venusYFP
2111844,shep,CPTI-002796,NMJ,venusYFP
2111843,CG1640,CPTI-002793,NMJ,venusYFP
2111842,CG1910,CPTI-002770,NMJ,venusYFP
2111841,tlk,CPTI-002768,NMJ,venusYFP
2111839,crp,CPTI-002760,NMJ,venusYFP
2111838,CG1674,CPTI-002762,NMJ,venusYFP
2111837,Men,CPTI-002759,NMJ,venusYFP
2111834,Ptpmeg2,CPTI-002750,NMJ,venusYFP
2111833,Vha55,CPTI-002645,NMJ,venusYFP
2111832,CCT7,CPTI-002629,NMJ,venusYFP
2111831,larp,CPTI-002498,NMJ,venusYFP
2111830,tkv,CPTI-002487,NMJ,venusYFP
2111829,CG11920,CPTI-002443,NMJ,venusYFP
2111827,Lac,CPTI-002408,NMJ,venusYFP
2111826,alpha-Cat,CPTI-002342,NMJ,venusYFP
2111824,Mdh2,CPTI-002315,NMJ,venusYFP
2111823,Nrx-IV,CPTI0001997,NMJ,venusYFP
2111103,tau,CPTI0000194,VNC,venusYFP
2111102,tau,CPTI000194,Overview,venusYFP
2111101,pum,CPTI002853,OL,venusYFP
2110964,pum,CPTI002853,MB,venusYFP
2110963,pum,CPTI002853,VNC,venusYFP
2110961,pum,CPTI002853,CB,venusYFP
2110960,pum,CPTI002853,Overview,venusYFP
2110959,Src64B,CPTI000567,CB,venusYFP
2110958,Src64B,CPTI000567,MB,venusYFP
2110957,Src64B,CPTI000567,VNC,venusYFP
2110955,Src64B,CPTI000567,Overview,venusYFP
2110954,Src64B,CPTI000567,OL,venusYFP
2112077,Sytbeta,CPTI-003250,NMJ,venusYFP
2112076,CG12163,CPTI-003173,NMJ,venusYFP
2112074,CG4004,CPTI-003117,NMJ,venusYFP
2112073,Mapmodulin,CPTI-003020,NMJ,venusYFP
2111106,tau,CPTI000194,CB,venusYFP
2111105,tau,CPTI000194,OL,venusYFP
2111104,tau,CPTI000194,MB,venusYFP
2105853,Tm1,CPTI002243,CB,venusYFP
2105854,Tm1,CPTI002243,OL,venusYFP
2105855,Tm1,CPTI002243,MB,venusYFP
2105856,Tm1,CPTI002243,VNC,venusYFP
2105857,Tm1,CPT002243,Overview,VenusYFP
2105858,Trol,CPTI002049,CB,venusYFP
2105859,Trol,CPTI002049,OL,venusYFP
2105860,Trol,CPTI002049,MB,venusYFP
2105861,Trol,CPTI002049,VNC,venusYFP
2105862,Trol,CPTI002049,Overview,venusYFP
2105880,CG2003,CPTI004022,MB,venusYFP
2105881,GC8036,CPTI0004041,MB,venusYFP
2105882,gish,CPTI0004113,MB,venusYFP
2105883,CG2003,CPTI004022,MB,venusYFP
2105884,Trol,CPTI0004167,MB,venusYFP
2105885,Chchd2,CPTI0004244,MB,venusYFP
2105886,bun,CPTI0004166,MB,venusYFP
2105887,ZAP3,CPTI0004292,MB,venusYFP
2105888,CG9265,CPTI0004298,MB,venusYFP
2105889,Argk,CPTI0004299,MB,venusYFP
2105890,Dlg1,CPTI0002017,MB,venusYFP
2105891,if,CPTI004152,MB,venusYFP
2105892,ps,CPTI001216,MB,venusYFP
2105893,14-3-epsilon,CPTI001216,MB,venusYFP
2105894,nonA,CPTI003091,MB,venusYFP
2105895,hts,CPTI001589,MB,venusYFP
2105896,piwi,CPTI003588,MB,venusYFP
2105897,Template,CPTIxxx,NMJ,venusYFP
2105898,CG31531,CPTI004007,NMJ,venusYFP
2105928,Template,CPTIxxx,NMJ,venusYFP
2105934,Vap-33-1,CPTI002292,MB,venusYFP
2105935,Vap-33-1,CPTI002292,VNC,venusYFP
2105936,Vap-33-1,CPTI002292,Overview,venusYFP
2105937,CamKII,CPTI000944,CB,venusYFP
2105938,CamKII,CPTI000944,OL,venusYFP
2105939,CamkII,CPTI000944,MB,venusYFP
2105940,CamKII,CPTI000944,VNC,venusYFP
2105941,CamKII,CPTI000944,Overview,venusYFP
2105942,Cip4,CPTI003231,CB,venusYFP
2105943,Cip4,CPTI003231,OL,venusYFP
2105944,Cip4,CPTI003231,MB,venusYFP
2105945,Cip4,CPTI003231,VNC,venusYFP
2105946,Cip4,CPTI003231,Overview,venusYFP
2105947,N,CPTI000433,CB,venusYFP
2105948,N,CPTI000433,OL,venusYFP
2105949,N,CPTI000433,MB,venusYFP
2105950,N,CPTI000433,VNC,venusYFP
2105951,N,CPTI000433,Overview,venusYFP
2105952,Rab1,CPTI004394,CB,venusYFP
2105953,Rab1,CPTI004394,OL,venusYFP
2105954,Rab1,CPT004394,MB,venusYFP
2105955,Rab1,CPTI004394,VNC,venusYFP
2105956,Rab1,CPTI004394,Overview,venusYFP
2105959,papla1,CPTI100044,CB,venusYFP
2105960,papla1,CPTI210245,OL,venusYFP
2105961,papla1,CPTI100044,MB,venusYFP
2105962,papla1,CPTI100044,VNC,venusYFP
2105963,papla1,CPTI100044,Overview,venusYFP
2105964,kst,CPTI001728,CB,venusYFP
2105965,kst,CPTI001728,OL,venusYFP
2105966,kst,CPTI001728,MB,venusYFP
2105967,kst,CPTI001728,VNC,venusYFP
2105968,kst,CPTI001728,Overview,venusYFP
2105971,Bmm,CPTI000472,CB,venusYFP
2105972,Bmm,CPTI000472,OL,venusYFP
2105974,Bmm,CPTI000472,MB,venusYFP
2105975,Bmm,CPTI000472,VNC,venusYFP
2105976,Bmm,CPTI000472,Overview,venusYFP
2105978,Elf,CPTI000609,OL,venusYFP
2105979,Elf,CPTI000609,MB,venusYFP
2105980,Elf,CPTI000609,VNC,venusYFP
2105981,Elf,CPTI000609,Overview,venusYFP
2105982,CG11486,CPTI001306,OL,venusYFP
2105983,CG11486,CPTI001306,CB,venusYFP
2105984,CG11486,CPTI001306,MB,venusYFP
2105985,CG11486,CPTI001306,VNC,venusYFP
2105986,CG11486,CPTI001306,Overview,venusYFP
2105987,Cher,CPTI001399,CB,venusYFP
2105988,Cher,CPTI001399,OL,venusYFP
2105989,Cher,CPTI001399,MB,venusYFP
2105990,Cher,CPTI001399,VNC,venusYFP
2105991,Cher,CPTI001399,Overview,venusYFP
2105992,ATPsynbeta,CPTI000877,CB,venusYFP
2105993,ATPsynbeta,CPTI000877,OL,venusYFP
2105994,ATPsynbeta,CPTI000877,MB,venusYFP
2105995,ATPsynbeta,CPTI000877,VNC,venusYFP
2105996,ATPsynbeta,CPTI000877,Overview,venusYFP
2105997,CG11138,CPTI001659,OL,venusYFP
2105998,CG11138,CPTI001659,MB,venusYFP
2105999,CG11138,CPTI001659,VNC,venusYFP
2106000,CG11138,CPTI001659,Overview,venusYFP
2106001,CG9650,CPTI001740,CB,venusYFP
2106002,CG9650,CPTI001740,OL,venusYFP
2106003,CG9650,CPTI001740,MB,venusYFP
2106004,CG9650,CPTI001740,VNC,venusYFP
2106005,CG9650,CPTI001740,Overview,venusYFP
2106006,CG11576,CPTI002646,CB,venusYFP
2106007,CG11576,CPTI002646,OL,venusYFP
2106008,CG11576,CPTI002646,MB,venusYFP
2106010,CG11576,CPTI002646,Overview,venusYFP
2106011,cno,CPTI000590,CB,venusYFP
2106012,cno,CPTI000590,OL,venusYFP
2106013,cno,CPTI000590,MB,venusYFP
2106014,cno,CPTI000590,VNC,venusYFP
2106020,cno,CPTI000590,Overview,venusYFP
2106021,CtsB1,CPTI2807,CB,venusYFP
2106022,CtsB1,CPTI002807,OL,venusYFP
2106023,CtsB1,CPTI002807,MB,venusYFP
2106024,CtsB1,CPTI002807,VNC,venusYFP
2106025,CtsB1,CPTI002807,Overview,venusYFP
2106026,dek,CPTI000365,CB,venusYFP
2106027,dek,CPTI000365,OL,venusYFP
2106028,dek,CPTI000365,MB,venusYFP
2106029,dek,CPTI000365,VNC,venusYFP
2106030,dek,CPTI000365,Overview,venusYFP
2106031,B4,CPTI100035,CB,venusYFP
2106032,B4,CPTI100035,OL,venusYFP
2106033,B4,CPTI100035,MB,venusYFP
2106034,B4,CPTI100035,VNC,venusYFP
2106035,B4,CPTI100035,Overview,venusYFP
2106036,ced12,CPTI000286,CB,venusYFP
2106037,ced12,CPTI000286,OL,venusYFP
2106039,ced12,CPTI000286,MB,venusYFP
2106040,ced12,CPTI000286,VNC,venusYFP
2106043,CG11920,CPTI002443,Overview,venusYFP
2106044,ced12,CPTI000286,Overview,venusYFP
2106045,CG11920,CPTI002443,CB,venusYFP
2106046,CG11920,CPTI002443,OL,venusYFP
2106047,CG11920,CPTI002443,MB,venusYFP
2106048,CG11920,CPTI002443,VNC,venusYFP
2106049,ed,CPTI000616,CB,venusYFP
2106050,ed,CPTI000616,OL,venusYFP
2106051,ed,CPTI000616,MB,venusYFP
2106053,ed,CPTI000616,Overview,venusYFP
2106054,ed,CPTI0000616,VNC,venusYFP
2106055,Alh,CPTI003598,CB,venusYFP
2106056,Alh,CPTI003598,OL,venusYFP
2106057,Alh,CPTI003598,MB,venusYFP
2106058,Alh,CPTI003598,VNC,venusYFP
2106059,Alh,CPTI003598,Overview,venusYFP
2106060,AdenoK,CPTI004071,CB,venusYFP
2106061,AdenoK,CPTI004071,OL,venusYFP
2106062,AdenoK,CPTI0040701,MB,venusYFP
2106063,AdenoK,CPTI004071,VNC,venusYFP
2106064,AdenoK,CPTI004071,Overview,venusYFP
2106065,Gdh,CPTI001709,CB,venusYFP
2106066,Gdh,CPTI001709,OL,venusYFP
2106067,Gdh,CPTI001709,MB,venusYFP
2106068,Gdh,CPTI001709,VNC,venusYFP
2106069,Gdh,CPTI001709,Overview,venusYFP
2106070,hth,CPTI003745,CB,venusYFP
2106071,hth,CPTI003745,OL,venusYFP
2106072,hth,CPTI003745,MB,venusYFP
2106073,hth,CPTI003745,VNC,venusYFP
2106074,hth,CPTI003745,Overview,venusYFP
2106075,neu3,CPTI001259,CB,venusYFP
2106077,neu3,CPTI001259,OL,venusYFP
2106078,neu3,CPTI001259,MB,venusYFP
2106079,neu3,CPTI001259,VNC,venusYFP
2106080,neu3,CPTI001259,Overview,venusYFP
2106081,Heph,CPTI002409,CB,venusYFP
2106082,Heph,CPTI002406,OL,venusYFP
2106083,Heph,CPTI002406,MB,venusYFP
2106084,Heph,CPTI002406,VNC,venusYFP
2106085,Heph,CPTI002406,Overview,venusYFP
2106086,Hrb98DE,CPTI003669,CB,venusYFP
2106087,Hrb98DE,CPTI00369,OL,venusYFP
2106088,Hrb98DE,CPTI003669,MB,venusYFP
2106089,Hrb98DE,CPTI0003669,VNC,venusYFP
2106090,HRB98DE,CPTI003669,Overview,venusYFP
2106091,Top1,CPTI002927,CB,venusYFP
2106093,Top1,CPTI002927,MB,venusYFP
2106099,Sqd,CPTI000239,MB,venusYFP
2106108,Tcp1,CPTI000037,CB,venusYFP
2106109,Tcp1,CPTI000037,OL,venusYFP
2106118,Tsr1,CPTI007338,VNC,venusYFP
2106119,Tsr1,CPTI007338,Overview,venusYFP
2106124,Rab11,CPTI100051,Overview,venusYFP
2106125,Flw,CPTI002264,CB,venusYFP
2106129,Flw,CPTI002264,Overview,venusYFP
2106130,For,CPTI000091,CB,venusYFP
2106131,For,CPTI000091,OL,venusYFP
2106132,For,CPTI000091,MB,venusYFP
2106133,For,CPTI000091,VNC,venusYFP
2106134,For,CPTI000091,Overview,venusYFP
2106092,Top1,CPTI002927,OL,venusYFP
2106094,Top1,CPTI002927,VNC,venusYFP
2106096,Top1,CPTI002927,Overview,venusYFP
2106097,Sqd,CPTI000239,CB,venusYFP
2106098,Sqd,CPTI000239,OL,venusYFP
2106100,Sqd,CPTI000239,VNC,venusYFP
2106101,Sqd,CPTI000239,Overview,venusYFP
2106103,Stwl,CPTI000263,CB,venusYFP
2106104,Stwl,CPTI000263,OL,venusYFP
2106105,Stwl,CPTI000263,MB,venusYFP
2106106,Stwl,CPTI000263,VNC,venusYFP
2106107,Stwl,CPTI000263,Overview,venusYFP
2106110,Tcp1,CPTI000037,MB,venusYFP
2106111,Tcp1,CPTI000037,VNC,venusYFP
2106113,Tcp1,CPTI000037,Overview,venusYFP
2106114,Tsr1,CPTI007338,CB,venusYFP
2106115,Tsr1,CPTI007338,OL,venusYFP
2106116,Tsr1,CPTI007338,MB,venusYFP
2106120,Rab11,CPTI100051,CB,venusYFP
2106121,Rab11,CPTI100051,OL,venusYFP
2106122,Rab11,CPTI100051,MB,venusYFP
2106123,Rab11,CPTI000051,VNC,venusYFP
2106126,Flw,CPTI002264,OL,venusYFP
2106127,Flw,CPTI002264,MB,venusYFP
2106128,Flw,CPTI002264,VNC,venusYFP
2106139,Lola,CPTI000190,CB,venusYFP
2106140,Lola,CPTI000190,OL,venusYFP
2106141,Lola,CPTI000190,MB,venusYFP
2106142,Lola,CPTI000190,VNC,venusYFP
2106143,Lola,CPTI000190,Overview,venusYFP
2106144,Eaf,CPTI000560,CB,venusYFP
2106145,Eaf,CPTI000560,OL,venusYFP
2106146,Eaf,CPTI000560,MB,venusYFP
2106147,Eaf,CPTI000560,VNC,venusYFP
2106148,Eaf,CPTI000560,Overview,venusYFP
2106150,sytbeta,CPTI003250,CB,venusYFP
2106151,sytbeta,CPTI003250,OL,venusYFP
2106152,sytbeta,CPTI003250,MB,venusYFP
2106153,sytbeta,CPTI003250,VNC,venusYFP
2106154,sytbeta,CPTI003250,Overview,venusYFP
2106155,smd3,CPTI100043,CB,venusYFP
2106157,smd3,CPTI100043,MB,venusYFP
2106159,smd3,CPTI100043,Overview,venusYFP
2106161,mnt,CPTI001879,OL,venusYFP
2106164,mnt,CPTI001879,Overview,venusYFP
2106165,Flo-2,CPTI001427,CB,venusYFP
2106166,Flo-2,CPTI001427,OL,venusYFP
2106167,Flo-2,CPTI001427,MB,venusYFP
2106156,smd3,CPTI100043,OL,venusYFP
2106158,smd3,CPTI100043,VNC,venusYFP
2106160,mnt,CPTI001879,CB,venusYFP
2106162,mnt,CPTI001879,MB,venusYFP
2106168,Flo-2,CPTI001427,VNC,venusYFP
2106163,mnt,CPTI001879,VNC,venusYFP
2106169,Flo-2,CPTI001427,Overview,venusYFP
2106170,Gish,CPTI002023,CB,venusYFP
2106171,Gish,CPTI002023,OL,venusYFP
2106172,Gish,CPTI002023,MB,venusYFP
2106173,gish,CPTI02023,VNC,venusYFP
2106174,Gish,CPTI002023,Overview,venusYFP
2106175,Jupiter,CPTI003917,CB,venusYFP
2106176,Jupiter,CPTI003917,OL,venusYFP
2106177,Jupiter,CPTI003917,MB,venusYFP
2106178,Jupiter,CPTI003917,VNC,venusYFP
2106179,Jupiter,CPTI003917,Overview,venusYFP
2106199,Jupiter,CPTI003917,Overview,venusYFP
2107175,Pka-R2,CPTI001580,MB,venusYFP
2107176,Pka-R2,CPTI001580,OL,venusYFP
2107177,Pka-R2,CPTI001580,VNC,venusYFP
2107178,Pka-R2,CPTI001580,CB,venusYFP
2107179,Pka-R2,CPTI001580,Overview,venusYFP
2107181,cold,CPTI001277,Overview,venusYFP
2107182,cold,CPTI001277,OL,venusYFP
2107183,seq,CPTI001516,Overview,venusYFP
2107184,seq,CPTI001516,OL,venusYFP
2107185,seq,CPTI001516,CB,venusYFP
2107186,seq,CPTI001616,VNC,venusYFP
2107187,seq,CPTI001516,MB,venusYFP
2107188,Nlp,CPTI003532,Overview,venusYFP
2107189,Nlp,CPTI003532,OL,venusYFP
2107190,Nlp,CPTI003532,CB,venusYFP
2107191,Nlp,CPTI003532,VNC,venusYFP
2107192,Nlp,CPTI003522,MB,venusYFP
2107193,spen,CPTI001595,Overview,venusYFP
2107194,spen,CPTI001595,OL,venusYFP
2107195,spen,CPTI001595,CB,venusYFP
2107196,spen,CPTI001595,VNC,venusYFP
2107199,spen,CPTI001595,MB,venusYFP
2107201,cold,CPTI001277,CB,venusYFP
2107202,cold,CPTI001277,VNC,venusYFP
2107203,cold,CPTI001277,MB,venusYFP
2107204,Qsm,CPTI001414,Overview,venusYFP
2107205,Qsm,CPTI001414,OL,venusYFP
2107206,Qsm,CPTI001414,CB,venusYFP
2107207,Qsm,CPTI001414,MB,venusYFP
2107208,Qsm,CPTI001414,VNC,venusYFP
2107211,eRF3/Elf,CPTI000609,Overview,venusYFP
2107212,eRF3/Elf,CPTI000609,OL,venusYFP
2107213,eRF3/Elf,CPTI000609,CB,venusYFP
2107214,eRF3/Elf,CPTI000609,VNC,venusYFP
2107215,eRF3/Elf,CPTI00609,MB,venusYFP
2107216,Ankle2,CPTI000326,Overview,venusYFP
2107217,Ankle2,CPTI000326,OL,venusYFP
2107218,Ankle2,CPTI000326,CB,venusYFP
2107219,Ankle2,CPTI000326,VNC,venusYFP
2107220,Ankle2,CPTI000326,MB,venusYFP
2107221,Chrb,CPTI000318,Overview,venusYFP
2107222,Chrb,CPTI000318,OL,venusYFP
2107223,Chrb,CPTI000318,CB,venusYFP
2107224,Chrb,CPTI000318,VNC,venusYFP
2107226,Chrb,CPTI00318,MB,venusYFP
2107235,HDAC4,CPTI000077,Overview,venusYFP
2107236,HDAC4,CPTI000077,OL,venusYFP
2107237,HDAC4,CPTI000077,CB,venusYFP
2107238,HDAC4,CPTI000077,MB,venusYFP
2107239,kat80,CPTI001430,Overview,venusYFP
2107240,kat80,CPTI001430,OL,venusYFP
2107242,kat80,CPTI001430,CB,venusYFP
2107245,kat80,CPTI001430,MB,venusYFP
2107246,kat80,CPTI001430,VNC,venusYFP
2107248,CG43740/CG15307,CPTI001056,Overview,venusYFP
2107249,CG43740/CG15307,CPTI001056,OL,venusYFP
2107268,nrv2,CPTI001455,Overview,venusYFP
2109855,gish,CPTI004113,NMJ,venusYFP
2110158,Spn,CPTI001457,Overview,venusYFP
2110159,Spn,CPTI001457,OL,venusYFP
2110160,Spn,CPTI001457,CB,venusYFP
2110161,Spn,CPTI001457,VNC,venusYFP
2110162,Spn,CPTI001457,MB,venusYFP
2110168,CG43740/CG15307,CPTI001056,CB,venusYFP
2110169,CG43740/CG15307,CPTI001506,VNC,venusYFP
2110208,cpx,CPTI001473,Overview,venusYFP
2110213,cpx,CPTI001473,CB,venusYFP
2110217,cpx,CPTI001473,VNC,venusYFP
2110232,nrv2,CPTI001455,OL,venusYFP
2110237,nrv2,CPTI001455,MB,venusYFP
2110238,nrv2,CPTI001455,VNC,venusYFP
2110249,eIF5B,CPTI003501,Overview,venusYFP
2110250,eIF5B,CPTI003501,OL,venusYFP
2110252,eIF5B,CPTI003501,MB,venusYFP
2110253,eIF5B,CPTI003501,VNC,venusYFP
2110234,nrv2,CPTI001455,CB,venusYFP
2110210,cpx,CPTI001473,OL,venusYFP
2110224,cpx,CPTI001473,MB,venusYFP
2110251,eIF5B,CPTI003501,CB,venusYFP
2110448,Template,CPTIxxx,NMJ,venusYFP
2110458,Template,CPTIxxx,NMJ,venusYFP
2110556,Template,CPTIxxx,NMJ,venusYFP
2110590,HDAC4,CPTI000077,VNC,venusYFP
2110667,sgg,CPTI000023,NMJ,venusYFP
2110688,Rab1,CPTI004256,NMJ,venusYFP
2110689,hts,CPTI001589,NMJ,venusYFP
2110704,Fer1HCH,CPTI000038,NMJ,venusYFP
2110705,Pax,CPTI-000161,NMJ,venusYFP
2110708,Dlg1,CPTI000207,NMJ,venusYFP
2110709,Mi-2,CPTI-000232,NMJ,venusYFP
2110710,otk,CPTI-000252,NMJ,venusYFP
2110711,Uhg1,CPTI000335,NMJ,venusYFP
2110712,Zasp52,CPTI000408,NMJ,venusYFP
2110713,ed,CPTI000616,NMJ,venusYFP
2110714,fl(2)d,CPTI000936,NMJ,venusYFP
2110731,Ten-m,CPTI-001175,NMJ,venusYFP
2110770,14-3-epsilon,CPTI100045,NMJ,venusYFP
2110775,for,CPTI-000091,NMJ,venusYFP
2110778,Pax,CPTI-000161,NMJ,venusYFP
2110784,lola,CPTI-000190,NMJ,venusYFP
2110788,tau,CPTI-000194,NMJ,venusYFP
2110791,Cas,CPTI-000199,NMJ,venusYFP
2110792,sqd,CPTI-000239,NMJ,venusYFP
2110793,MTA1-like,CPTI-000256,NMJ,venusYFP
2110794,stwl,CPTI-000263,NMJ,venusYFP
2110795,tapas,CPTI-000298,NMJ,venusYFP
2110796,Got1,CPTI-000303,NMJ,venusYFP
2110798,sdk,CPTI-000337,NMJ,venusYFP
2110800,Dek,CPTI-000365,NMJ,venusYFP
2110802,Sema-2a,CPTI-000798,venusYFP,zegami2
2110803,twin,CPTI-000371,NMJ,venusYFP
2110837,Zasp52,CPTI-000408,NMJ,zegami2
2110838,Dek,CPTI-000426,NMJ,venusYFP
2110839,Dek,CPTI-000448,NMJ,venusYFP
2110840,CTPsyn,CPTI-000453,NMJ,zegami2
2110841,bmm,CPTI-000472,NMJ,venusYFP
2110842,Src64B,CPTI-000567,NMJ,venusYFP
2110843,cno,CPTI-000590,NMJ,venusYFP
2110844,Elf,CPTI-000609,NMJ,venusYFP
2110846,I(1)G0320,CPTI-000633,NMJ,venusYFP
2110847,Abl,CPTI-000658,NMJ,venusYFP
2110848,Pdi,CPTI-000688,NMJ,venusYFP
2110849,CG5830,CPTI-000737,venusYFP,zegami2
2110850,CG34422,CPTI-000739,NMJ,venusYFP
2110852,RpS9,CPTI-000785,NMJ,venusYFP
2110853,CG17839,CPTI-000794,NMJ,venusYFP
2110854,Sema-2a,CPTI-000798,venusYFP,zegami2
2110855,ATPsyn-beta,CPTI-000877,venusYFP,zegami2
2110861,htk,CPTI-000883,venusYFP,zegami2
2110862,htk,CPTI-000739,NMJ,venusYFP
2110863,CG9650,CPTI-000886,NMJ,venusYFP
2110864,Unc-115a,CPTI-000905,NMJ,venusYFP
2110865,Trxr-1,CPTI-000915,NMJ,venusYFP
2110880,cindr,CPTI-002324,NMJ,venusYFP
2110883,CG10602,CPTI0002118,NMJ,venusYFP
